Phrase,Freq,Country,#hashtag,Synonyms,UK-Gov
health doctors,125,,corona-virus,,1
surveillance-state apparatchik,125,,corona-virus,,1
flatten the curve,100,,corona-virus,,1
ghebreyesus,100,,corona-virus,,1
illprepared,100,,corona-virus,,1
incompetent,100,,corona-virus,,1
incubation,100,,corona-virus,,1
isolation,100,,corona-virus,,1
medical officer,100,,corona-virus,,1
mental health,100,,corona-virus,,1
respiratory,100,,corona-virus,,1
SARS,100,,corona-virus,,1
shortage,100,,corona-virus,,1
shortages,100,,corona-virus,,1
symptoms,100,,corona-virus,,1
unprepared,100,,corona-virus,,1
world health organisation,100,,corona-virus,,1
coronavirus,86,,corona-virus,,1
self-isolate,79,,corona-virus,,1
covid19,37,,corona-virus,,1
covid-19,36,,corona-virus,,1
corona deaths,26,,corona-virus,,1
corona patients,26,,corona-virus,,1
corona cases,25,,corona-virus,,1
coronavirus,23,,corona-virus,,1
coronavirus-,23,,corona-virus,,1
corona-2020,15,,corona-virus,,1
coronarvirusoutbreak,15,,corona-virus,,1
covid,14,,corona-virus,,1
corona flu,13,,corona-virus,,1
#coronaoutbreak,11,,corona-virus,,1
coronaoutbreak,11,,corona-virus,,1
coronavirus-hit,9,,corona-virus,,1
corona-chaos,8,,corona-virus,,1
coronaviruseffects,8,,corona-virus,,1
corona vaccine development,6,,corona-virus,,1
corona-virus,6,,corona-virus,,1
sars-covid19,1,,corona-virus,,1
