Phrase,Freq,Country,#hashtag,Synonyms
valerie jarrett,333,usa,democrats,
ben mcadams,333,usa,democrats,
obama/biden,331,usa,democrats,biden
time democrats,330,usa,democrats,
communist democrat party,329,usa,democrats,
john kennedy,327,usa,democrats,
sheila jackson lee,323,usa,democrats,
steyer,323,usa,democrats,
rules committee democrats,319,usa,democrats,
leftie,318,usa,democrats,
freshmen democrats,316,usa,democrats,
freshman democrat,315,usa,democrats,
debbie mucarsel-powell,313,usa,democrats,
doug jones,312,usa,democrats,
mr. nadler,310,usa,democrats,
obama doj,309,usa,democrats,
deplorables,308,usa,democrats,
barry soetoro,307,usa,democrats,
slotkin,302,usa,democrats,
sheila jackson,297,usa,democrats,
john carlin,296,usa,democrats,
anthony weiner,290,usa,democrats,
mcgovern,285,usa,democrats,
james carville,285,usa,democrats,
mr horowitz,283,usa,democrats,
robert ray,278,usa,democrats,
hillary rodham clinton,277,usa,democrats,clinton
harry reid,277,usa,democrats,
#schiff,274,usa,democrats,
kirsten gillibrand,274,usa,democrats,
jerrold nadler,268,usa,democrats,
cortez,267,usa,democrats,aoc
barack,267,usa,democrats,obama
michelle obamas,261,usa,democrats,
democrat support,260,usa,democrats,
johnson-harrell,260,usa,democrats,
louella thompson,256,usa,democrats,
russia/sanders,252,usa,democrats,bernie
blumenthal,246,usa,democrats,
david skaggs,238,usa,democrats,
matt cartwright,238,usa,democrats,
democrats today,232,usa,democrats,
josh gottheimer,225,usa,democrats,
lofgren,224,usa,democrats,
mikie sherrill,223,usa,democrats,
democrats vow,216,usa,democrats,
democrat caucus,211,usa,democrats,
house minority leader,208,usa,democrats,
obama-appointed,208,usa,democrats,
chris pappas,206,usa,democrats,
katie hill,204,usa,democrats,
chris stevens,204,usa,democrats,
democrat standarddo,204,usa,democrats,
frank biden,203,usa,democrats,biden
cedric richmond,200,usa,democrats,
tom ohalleran,199,usa,democrats,
brzezinski,199,usa,democrats,
trump obama,198,usa,democrats,
pelosi/schiff/nadler,194,usa,democrats,
aliens democrats,194,usa,democrats,
bob menendez,192,usa,democrats,
paul begala,190,usa,democrats,
debbie wasserman,187,usa,democrats,
john lewis,185,usa,democrats,
#obama,181,usa,democrats,
democrats demise,181,usa,democrats,
schumer-pelosi-sanders-biden- buttigieg-warren-klobuchar-steyer,163,usa,democrats,
hunter biden-connected,149,usa,democrats,
state department,3035,usa,dos,
state dept,2956,usa,dos,
dollars,12411,usa,economy,
dollar,2337,usa,economy,
dow jones,346,usa,economy,
imf,336,usa,economy,
401k,323,usa,economy,
treasury secretary,277,usa,economy,
bank cut interest rates,272,usa,economy,
literacy programs,564,usa,education,
education/labor committees,407,usa,education,
re-election,4442,usa,elections,
primaries,1691,usa,elections,
campaign trail,1072,usa,elections,
election campaign,1023,usa,elections,
poll numbers,955,usa,elections,
campaign manager,929,usa,elections,
voter registration,922,usa,elections,
smear campaign,882,usa,elections,
election year,689,usa,elections,
battleground states,450,usa,elections,
swing districts,385,usa,elections,
election fraud,355,usa,elections,
swing states,339,usa,elections,
democracies,321,usa,elections,
campaign finance law violations,275,usa,elections,
senate race,257,usa,elections,
election time,251,usa,elections,
election coverage,249,usa,elections,
senate seat scandal,217,usa,elections,
poll workers,191,usa,elections,
saliva-soaked fingers,188,usa,elections,
billionaire fetish,182,usa,elections,
election moderator,155,usa,elections,
anti-trump bias,152,usa,elections,
trump-hating lunatic,151,usa,elections,
caucus volunteers,140,usa,elections,
virginias votes,122,usa,elections,
election interference investigation,121,usa,elections,
debate prep,115,usa,elections,
turnout machine,113,usa,elections,
ervin julian,112,usa,elections,
#uncledick,112,usa,elections,
vote total,111,usa,elections,
campaign trail joke,109,usa,elections,
todaytrump,108,usa,elections,
trump communications director,104,usa,elections,
front runner democrats,103,usa,elections,
fidel sanders,85,usa,elections,
billy graham,1343,usa,evangelical,
franklin graham,1115,usa,evangelical,
evangelicals,883,usa,evangelical,
jim baker,269,usa,evangelical,
kyle jurek,4209,usa,far-left,
anarchist group,147,usa,far-left,
laura loomer,4288,usa,far-right,
alex jones,1134,usa,far-right,
nick fuentes,351,usa,far-right,
laura loomer-laura loomer,278,usa,far-right,
david duke,243,usa,far-right,
andrew breitbart,221,usa,far-right,
fbi,48446,usa,fbi,
mccabe,5687,usa,fbi,
james comey,5396,usa,fbi,
john durham,5224,usa,fbi,
christopher wray,3019,usa,fbi,
fisa,2890,usa,fbi,
andrew mccabe,2378,usa,fbi,
jim comey,1535,usa,fbi,
chris wray,1287,usa,fbi,
fisa warrant,1284,usa,fbi,
page fisa,1059,usa,fbi,
comey,978,usa,fbi,
robert mueller,862,usa,fbi,
fisa court,824,usa,fbi,
obama fbi,799,usa,fbi,
fbi christopher wray,491,usa,fbi,
page fisa warrant,396,usa,fbi,
page fisa application,392,usa,fbi,
kevin clinesmith,339,usa,fbi,
page fisa applications,303,usa,fbi,
obamas fbi,289,usa,fbi,
fisa power,260,usa,fbi,
reform markup tomorrow,248,usa,fbi,
strzok-page emails,224,usa,fbi,
mccabe yates,153,usa,fbi,
f.b.i. official,135,usa,fbi,
fbi mccabe,129,usa,fbi,
#fisa reform,108,usa,fbi,
larry kudlow,369,usa,fed,
allies,5696,usa,fp,
empire,1882,usa,fp,
afghanistan,8011,usa,fp-afghanistan,FP-SA
canada,20265,usa,fp-canada,FP-NA
trudeau,3773,usa,fp-canada,FP-NA
justin trudeau,3647,usa,fp-canada,FP-NA
alberta,1555,usa,fp-canada,FP-NA
canadians,1395,usa,fp-canada,FP-NA
china,33007,usa,fp-china,FP-EA
wuhan,4148,usa,fp-china,FP-EA
trade agreement,2645,usa,fp-china,FP-EA
tariffs,2549,usa,fp-china,FP-EA
beijing,1118,usa,fp-china,FP-EA
huawei,817,usa,fp-china,FP-EA
chinese,365,usa,fp-china,FP-EA
#china,324,usa,fp-china,FP-EA
shanghai,246,usa,fp-china,FP-EA
