Phrase,Freq,Country,#hashtag
independence,4333,,nationalism
laura loomer,4288,usa,far-right
stock market,4285,,economy
saudi,4263,usa,fp-saudi
christians,4259,,christian
john brennan,4258,usa,intelligence
kyle jurek,4209,usa,far-left
warming,4179,,cc
debt,4166,,economy
wuhan,4148,usa,fp-china
brussels,4097,eu,eu
bloomberg,4078,usa,democrat
tax dollars,4056,,economy
antisemitism,4029,,jews
kingdom,4024,uk,
nigeria,4021,,fp-nigeria
assassination,4002,,crime
clintons,3993,usa,democrat
san francisco,3993,usa,
graham,3966,usa,republican
clapper,3935,usa,intelligence
saudi arabia,3895,usa,fp-saudi
racists,3877,,race
budget,3862,,economy
amazon,3854,usa,
virus,3848,,health
trade deals,3833,,economy
teacher,3825,,education
meme,3820,,media
impeachment hearings,3810,usa,impeachment
anti-semitism,3798,,jews
justice department,3785,usa,justice
trudeau,3773,usa,fp-canada
environment,3773,,cc
communist,3772,,ideology
hindus,3756,,fp-india
christ,3754,,christian
minnesota,3724,usa,
killing,3720,,crime
arizona,3719,usa,
voter fraud,3716,,election
minorities,3710,,minorities
portland,3706,usa,
jeff van,3706,usa,
putin,3662,,russia
nbc,3655,usa,
earth,3653,,cc
justin trudeau,3647,usa,fp-canada
turkey,3638,,fp-turkey
korea,3634,usa,fp-korea
joe bidens,3617,usa,democrat
indictment,3615,usa,justice
utah,3588,usa,
venezuela,3586,usa,fp-southamerica
pentagon,3580,usa,defense
kong,3578,,fp-hongkong
harvard,3567,usa,
impeachment process,3559,usa,impeachment
caucus,3552,usa,
nj,3532,usa,
nature,3520,,cc
teachers,3487,,education
va,3472,usa,
house dems,3470,usa,democrat
mass,3470,usa,
veteran,3454,usa,defense
veterans,3426,usa,defense
wisconsin,3426,usa,
gas,3403,,energy
pompeo,3377,usa,republican
michael flynn,3373,usa,defense
minority,3361,,minorities
chicago,3344,usa,
homelessness,3339,,poverty
shooting,3338,,crime
ice,3322,,cc
representative,3308,usa,
crowds,3275,,protest
nazis,3263,,far-right
georgia,3260,usa,
illinois,3260,usa,
ohio,3255,usa,
hunter,3246,usa,democrat
cc,3238,,cc
resistance,3233,,protest
netflix,3223,usa,media
jerusalem,3213,,fp-israel
impeachment case,3199,usa,impeachment
debates,3199,usa,justice
patients,3199,,health
dc,3193,usa,
delhi,3163,,fp-india
vince vaughn,3155,usa,actor
agencies,3141,usa,
fathers,3141,,family
censorship,3135,,media
gun control,3134,usa,gun control
jesus christ,3129,,christian
hershey,3106,usa,
bomb,3102,,terrorism
devil,3088,,religion
tory,3067,uk,conservative
communists,3052,,ideology
state department,3035,usa,dos
abortions,3032,usa,abortion
mike bloomberg,3021,usa,democrat
christopher wray,3019,usa,fbi
illegals,3016,,immigration
bombs,3006,,terrorism
italy,3003,eu,fp-italy
attacks,3003,,conflict
hospitals,2994,,health
conspiracy theory,2994,,media
parenthood,2993,usa,abortion
tucker carlson,2961,usa,cons-media
intel,2961,,intelligence
ted cruz,2960,usa,republican
state dept,2956,usa,dos
harvey weinstein,2952,usa,rape
mullahs,2946,usa,fp-iran
carolina,2936,usa,
banks,2930,,economy
wind,2929,,energy
subpoenas,2910,usa,justice
trees,2909,,cc
fisa,2890,usa,fbi
hamas,2866,usa,fp-iran
hitler,2862,,ideology
mitch,2853,usa,republican
amendment rights,2848,usa,justice
universities,2847,,education
gun owners,2839,usa,gun control
unemployment rate,2838,,economy
witch hunt,2829,usa,media
rashida,2811,usa,democrat
capitalism,2803,,economy
jess phillips,2799,uk,labour
slavery,2796,,human-rights
fox,2793,usa,cons-media
jordan,2793,,fp-jordan
jury,2791,,justice
commission,2790,usa,justice
rotherham,2761,uk,
impeachment inquiry,2747,usa,impeachment
taxpayer dollars,2717,usa,spending
iranians,2715,usa,fp-iran
youth,2690,,youth
genocide,2687,,human-rights
retweets,2684,usa,media
radio,2684,,media
baghdad,2678,usa,fp-iraq
satan,2674,,religion
extremists,2667,,terrorism
gender,2657,,gender
japan,2655,usa,fp-japan
trade agreement,2645,usa,fp-china
fb,2645,usa,media
riots,2643,,protest
nypd,2641,usa,justice
owen,2633,uk,journalist
judiciary,2631,,justice
rep.,2625,usa,
ny,2624,usa,
sentencing,2622,,justice
subpoena,2568,usa,
cruz,2565,usa,republican
blacks,2563,usa,race
bushfires,2562,,cc
duchess,2558,uk,royalty
capitol,2551,usa,
tariffs,2549,usa,fp-china
william,2542,uk,royalty
charles,2535,uk,royalty
lefties,2515,,ideology
barack obama,2509,usa,democrat
senate floor,2492,usa,
qatar,2479,,fp-me
seattle,2475,usa,
gaza,2469,,fp-israel
disinformation,2456,,media
electorate,2453,,election
trolls,2437,,media
navy,2430,,defense
waters,2423,,cc
christopher steele,2415,uk,intel
gop,2413,usa,republican
vets,2409,usa,defense
andrew mccabe,2378,usa,fbi
supremacists,2376,,supremacists
nato,2365,usa,nato
palestine,2363,,fp-israel
sky,2357,uk,media
justice system,2353,,justice
jonathan turley,2348,usa,impeachment
vaccines,2340,,health
dollar,2337,usa,economy
#impeachment,2334,usa,impeachment
collusion hoax,2332,usa,justice
blair,2331,uk,labour
dem,2324,usa,democrat
william barr,2322,usa,justice
vet,2320,usa,defense
firearms,2315,usa,gun control 
house floor,2313,usa,
catholic,2313,,christian
house judiciary committee,2312,usa,
doj,2309,usa,justice
houston,2307,usa,
refugee,2306,,immigration 
disease,2301,,health
war powers resolution,2293,usa,justice
sanctuary cities,2282,usa,immigration 
bush,2276,usa,republican
reagan,2273,usa,republican
judiciary committee,2254,usa,justice
taxpayer money,2253,,spending
coal,2252,,cc
protester,2248,,protest
rallies,2244,,protest
impeachment scam,2243,usa,impeachment
rep,2233,usa,republican
ballot,2233,,election
feminists,2233,,ideology
ukrainians,2232,usa,fp-ukraine
corbyn,2228,uk,labour
alabama,2228,usa,
mar-a-lago,2224,usa,trump
emily thornberry,2215,uk,labour
foreigners,2214,,immigration 
nurses,2206,,health
richard jewell,2197,usa,
elizabeth,2179,usa,democrat
michael bloomberg,2153,usa,democrat
kentucky,2153,usa,
switzerland,2136,switzerland,sweden
la,2116,usa,
barron,2114,usa,trump
mark levin,2113,usa,cons-media
greta thunberg,2105,,cc
pamela karlan,2104,usa,democrat
nigel farage,2103,uk,brexit
boston,2103,usa,
marines,2090,usa,defense
kamala harris,2086,usa,democrat
persecution,2073,,human-rights
