Phrase,Freq,Country,#hashtag,Synonyms,UK-Gov
commonwealth,1197,uk,,,1
liverpool,1058,uk,,,0
bloke,1012,uk,,,0
britons,1000,uk,,,1
duchessofcambridge,1000,uk,,,0
princegeorge,1000,uk,,,0
princelouis,1000,uk,,,0
princessofcharlotte,1000,uk,,,0
westyorkshire,1000,uk,,,0
rochdale,992,uk,,,0
hrh,985,uk,,,1
britons,848,uk,,,1
home secretary,788,uk,,,1
telford,787,uk,,,0
chelsea,743,uk,,,0
oxford,617,uk,,,1
british,579,uk,,,1
dublin,540,uk,,,1
cardiff,539,uk,,,1
blyth,536,uk,,,0
edinburgh,529,uk,,,1
scot,374,uk,,,1
bbcs,368,uk,,,1
uk-style,363,uk,,,1
cornwall,361,uk,,,0
whitehall,346,uk,,,1
leicester,344,uk,,,0
belfast,340,uk,,,1
wales,332,uk,,,1
newcastle,322,uk,,,0
huddersfield,321,uk,,,0
knight,313,uk,,,0
shadow cabinet,312,uk,,,1
u.k.,310,uk,,,1
oldham,305,uk,,,0
party mep,305,uk,,,0
grimsby,304,uk,,,0
peston,303,uk,,,1
uxbridge,302,uk,,,0
milton keynes,286,uk,,,0
george orwell,276,uk,,,0
islington,276,uk,,,0
london,274,uk,,,1
winston churchill,271,uk,,,1
churchill,268,uk,,,1
salford,268,uk,,,0
windsor,265,uk,,,0
rasmussen,264,uk,,,0
hackney,261,uk,,,0
bercow,257,uk,,,0
project fear,242,uk,,,0
stephen powis,226,uk,,,0
rick stein,215,uk,,,0
southampton,213,uk,,,0
parliament today,212,uk,,,1
post-brexit,212,uk,,,1
wrexham,205,uk,,,0
sas,201,uk,,,1
unionist,201,uk,,,0
anthony costello,200,uk,,,0
sherlock,189,uk,,,0
derbyshire,185,uk,,,0
essex,181,uk,,,0
home office boss,136,uk,,,1
home office worker,134,uk,,,1
philip rutman,124,uk,,,0
andrew sabisky,123,uk,,,0
abortion,9230,usa,abortion,,0
abortions,3032,usa,abortion,,0
parenthood,2993,usa,abortion,,0
term abortion,301,usa,abortion,,0
abortionist,289,usa,abortion,,0
abortion fanatic,195,usa,abortion,,0
champions abortion,171,usa,abortion,,0
abortion providers abortion,127,usa,abortion,,0
abortion industry secrets,105,usa,abortion,,0
abortion-protector,75,usa,abortion,,0
tom fitton,753,usa,activist,,0
carole baskin,422,usa,activist,,0
nathan phillips,298,usa,activist,,0
james o'keefe,297,usa,activist,,0
louis farrakhan,295,usa,activist,,0
farrakhan,201,usa,activist,,0
vince vaughn,3155,usa,actor,,0
brad pitt,908,usa,actor,,0
joaquin phoenix,496,usa,actor,,0
jon voight,344,usa,actor,,0
gary sinise,341,usa,actor,,0
nick robinson,305,usa,actor,,0
robert conrad,279,usa,actor,,0
john wayne,216,usa,actor,,0
john cusack,209,usa,actor,,0
tom hanks,201,usa,actor,,0
kevin spacey,193,usa,actor,,0
timothy hutton,131,usa,actor,,0
michelle williams,828,usa,actress,,0
alyssa milano,435,usa,actress,,0
gwyneth paltrow,297,usa,actress,,0
jane fonda,267,usa,actress,,0
gwyneth,230,usa,actress,,0
noah feldman,1493,usa,author,,0
mark galli,305,usa,author,,0
water accessibility,270,usa,cc,,0
water accessibility issues,228,usa,cc,,0
george nader,1232,usa,child-abuse,,0
jeffrey epsteins,813,usa,child-abuse,,0
child abuse,437,usa,child-abuse,,0
exploitation crackdown,398,usa,child-abuse,,0
jeffery epstein,317,usa,child-abuse,,0
glen christie,292,usa,child-abuse,,0
billionaire pedophile,245,usa,child-abuse,,0
child porn,244,usa,child-abuse,,0
#christmas,246,usa,christian,,0
roger williams,217,usa,christian,,0
america god,216,usa,christian,,0
emissions rule,851,usa,climate change,,0
fuel emissions,623,usa,climate change,,0
kathy griffin,825,usa,comedian,,0
george lopez,739,usa,comedian,,0
joe rogan,342,usa,comedian,,0
george carlin,315,usa,comedian,,0
patton oswalt,207,usa,comedian,,0
jimmy fallons,132,usa,comedian,,0
tucker carlson,2961,usa,cons-media,,0
fox,2793,usa,cons-media,,0
mark levin,2113,usa,cons-media,,0
laura ingraham,2036,usa,cons-media,,0
limbaugh,1793,usa,cons-media,,0
rush limbaugh,1459,usa,cons-media,,0
john solomon,1320,usa,cons-media,,0
juan williams,1111,usa,cons-media,,0
jay sekulow,1092,usa,cons-media,,0
sean hannity,1056,usa,cons-media,,0
murdoch,854,usa,cons-media,,0
ben shapiro,680,usa,cons-media,,0
kimberley strassel,673,usa,cons-media,,0
charlie kirk,552,usa,cons-media,,0
maria bartiromo,532,usa,cons-media,,0
gregg jarrett,524,usa,cons-media,,0
gutfeld,346,usa,cons-media,,0
glenn beck,321,usa,cons-media,,0
fox news,319,usa,cons-media,,0
james rosen,309,usa,cons-media,,0
shepard smith,301,usa,cons-media,,0
hannity,297,usa,cons-media,,0
lou dobbs,292,usa,cons-media,,0
martha maccallum,292,usa,cons-media,,0
michelle malkin,291,usa,cons-media,,0
wall street journal,285,usa,cons-media,,0
geraldo rivera,284,usa,cons-media,,0
gianni caldwell,261,usa,cons-media,,0
ingraham,249,usa,cons-media,,0
jeanine pirro,242,usa,cons-media,,0
dan bongino,238,usa,cons-media,,0
shapiro,215,usa,cons-media,,0
jennifer rubin,188,usa,cons-media,,0
#cpac,119,usa,cons-media,,0
paycheck protection program,2787,usa,corona-virus,,0
virus briefings,2013,usa,corona-virus,,0
dr. birx,1614,usa,corona-virus,,0
hospital exec,1507,usa,corona-virus,,0
issues emergency authorization,1261,usa,corona-virus,,0
emergency authorization,1212,usa,corona-virus,,0
response bill,939,usa,corona-virus,,0
hydroxychloroquine,929,usa,corona-virus,,0
bill gates-funded,790,usa,corona-virus,,0
roadhouse ceo,768,usa,corona-virus,,0
spring breakers,692,usa,corona-virus,,0
anthony fauci,654,usa,corona-virus,,0
loan resources,648,usa,corona-virus,,0
fabio rampelli,640,usa,corona-virus,,0
chinavirus,555,usa,corona-virus,,0
china-virus,555,usa,corona-virus,,0
nations distillers,555,usa,corona-virus,,0
infant suffocation,549,usa,corona-virus,,0
anthony cardillo,482,usa,corona-virus,,0
jim santilli,477,usa,corona-virus,,0
#paycheckprotectionprogram,463,usa,corona-virus,,0
amador,458,usa,corona-virus,,0
colleen smith,378,usa,corona-virus,,0
fema,375,usa,corona-virus,,0
mario salerno,371,usa,corona-virus,,0
symptoms border patrol,370,usa,corona-virus,,0
relief bill americans,342,usa,corona-virus,,0
toilet paper aisle,329,usa,corona-virus,,0
gun store closures,328,usa,corona-virus,,0
crisis manager-in-chief,322,usa,corona-virus,,0
christi grimm,318,usa,corona-virus,,0
world health organizations budget,294,usa,corona-virus,,0
bill gates,283,usa,corona-virus,,0
hotel orgy,280,usa,corona-virus,,0
presidents briefings,264,usa,corona-virus,,0
thomas harvey,259,usa,corona-virus,,0
dr. vladimir,243,usa,corona-virus,,0
recovery bill,237,usa,corona-virus,,0
drug president,214,usa,corona-virus,,0
disease pandemics,202,usa,corona-virus,,0
house-to-house searches,175,usa,corona-virus,,0
alex gorsky,167,usa,corona-virus,,0
hoax breakdown,132,usa,corona-virus,,0
pandemic specialist,132,usa,corona-virus,,0
mass-panic efforts,112,usa,corona-virus,,0
robert redfield,94,usa,corona-virus,,0
bases,7695,usa,defense,,0
pentagon,3580,usa,defense,,0
veteran,3454,usa,defense,,0
veterans,3426,usa,defense,,0
michael flynn,3373,usa,defense,,0
vets,2409,usa,defense,,0
vet,2320,usa,defense,,0
marines,2090,usa,defense,,0
brett crozier,1230,usa,defense,,0
war veterans day,1070,usa,defense,,0
defense bill,845,usa,defense,,0
space force,738,usa,defense,,0
#medalofhonorday,648,usa,defense,,0
homeland security,477,usa,defense,,0
mcdonnell,440,usa,defense,,0
crozier,360,usa,defense,,0
war veteran,300,usa,defense,,0
aircraft carrier captain,242,usa,defense,,0
coast guard,211,usa,defense,,0
marine corp vet,201,usa,defense,,0
frank mckenzie,179,usa,defense,,0
charles brown jr.,79,usa,defense,,0
democrats,226104,usa,democrats,,0
obama,83980,usa,democrats,obama,0
dems,78756,usa,democrats,,0
pelosi,73331,usa,democrats,pelosi,0
nancy pelosi,50049,usa,democrats,pelosi,0
adam schiff,49692,usa,democrats,schiff,0
schiff,37577,usa,democrats,schiff,0
joe biden,34213,usa,democrats,biden,0
biden,31661,usa,democrats,biden,0
bernie,29412,usa,democrats,bernie,0
clinton,28916,usa,democrats,clinton,0
nancy,28234,usa,democrats,pelosi,0
bernie sanders,25822,usa,democrats,bernie,0
hillary,24303,usa,democrats,clinton,0
liberals,22467,usa,democrats,,0
hillary clinton,18861,usa,democrats,clinton,0
hunter biden,16591,usa,democrats,,0
democrat,15549,usa,democrats,,0
nadler,12365,usa,democrats,nadler,0
warren,12357,usa,democrats,warren,0
house democrats,11500,usa,democrats,,0
elizabeth warren,11354,usa,democrats,warren,0
sanders,10636,usa,democrats,bernie,0
bidens,9350,usa,democrats,biden,0
schumer,9270,usa,democrats,schumer,0
jerry nadler,9022,usa,democrats,nadler,0
aoc,8567,usa,democrats,aoc,0
john kerry,7227,usa,democrats,kerry,0
nothing democrats,6728,usa,democrats,,0
dnc,6029,usa,democrats,,0
chuck schumer,5945,usa,democrats,schumer,0
obamas,4493,usa,democrats,obama,0
bloomberg,4078,usa,democrats,,0
clintons,3993,usa,democrats,clinton,0
joe bidens,3617,usa,democrats,biden,0
house dems,3470,usa,democrats,,0
tara reade,3458,usa,democrats,biden,0
hunter,3246,usa,democrats,,0
mike bloomberg,3021,usa,democrats,bloomberg,0
rashida,2811,usa,democrats,,0
barack obama,2509,usa,democrats,obama,0
dem,2324,usa,democrats,,0
elizabeth,2179,usa,democrats,warren,0
michael bloomberg,2153,usa,democrats,bloomberg,0
pamela karlan,2104,usa,democrats,karlan,0
kamala harris,2086,usa,democrats,harris,0
cory booker,1816,usa,democrats,,0
ralph northam,1735,usa,democrats,,0
nothing dems,1652,usa,democrats,,0
michelle obama,1642,usa,democrats,obama,0
klobuchar,1597,usa,democrats,klobuchar,0
hunter bidens,1529,usa,democrats,,0
dem party,1441,usa,democrats,biden,0
hussein obama,1344,usa,democrats,obama,0
kennedy,1183,usa,democrats,,0
obama-era,1135,usa,democrats,obama,0
cuomo,1084,usa,democrats,,0
feinstein,1069,usa,democrats,,0
democrat party,1026,usa,democrats,,0
chuck,994,usa,democrats,schumer,0
alexandra,918,usa,democrats,aoc,0
rashida tlaib,906,usa,democrats,tlaib,0
amy klobuchar,897,usa,democrats,klobuchar,0
senate democrats,875,usa,democrats,,0
collin peterson,866,usa,democrats,,0
hank johnson,863,usa,democrats,,0
hillary clintons,850,usa,democrats,clinton,0
pelosi-schiff,799,usa,democrats,pelosi,0
level democrats,793,usa,democrats,aoc,0
ocasio-cortez,785,usa,democrats,,0
stacey abrams,777,usa,democrats,,0
jill biden,708,usa,democrats,biden,0
adam schiffs,694,usa,democrats,schiff,0
gavin newsom,666,usa,democrats,,0
james clyburn,645,usa,democrats,,0
jackson lee,641,usa,democrats,,0
joe manchin,611,usa,democrats,,0
jimmy carter,591,usa,democrats,,0
elizabeth warrens,586,usa,democrats,warren,0
imran awan,584,usa,democrats,,0
chelsea clinton,571,usa,democrats,clinton,0
hakeem jeffries,554,usa,democrats,,0
john huber,496,usa,democrats,,0
dianne feinstein,489,usa,democrats,,0
ben rhodes,456,usa,democrats,,0
john dingell,429,usa,democrats,,0
george kent,420,usa,democrats,,0
paul pelosi,410,usa,democrats,,0
andrew cuomo,405,usa,democrats,,0
veronica escobar,400,usa,democrats,,0
sanders iowa,386,usa,democrats,,0
mucarsel-powell,382,usa,democrats,,0
obiden-bama,382,usa,democrats,biden,0
wasserman schultz,381,usa,democrats,,0
barack hussein obama,377,usa,democrats,obama,0
james biden,376,usa,democrats,biden,0
dem/socialists,374,usa,democrats,,0
democrat rivals,366,usa,democrats,,0
joe lockhart,362,usa,democrats,,0
john podesta,354,usa,democrats,,0
debbie wasserman schultz,351,usa,democrats,,0
liz warren,341,usa,democrats,warren,0
ben mcadams,333,usa,democrats,,0
valerie jarrett,333,usa,democrats,,0
obama/biden,331,usa,democrats,biden,0
time democrats,330,usa,democrats,,0
communist democrat party,329,usa,democrats,,0
john kennedy,327,usa,democrats,,0
sheila jackson lee,323,usa,democrats,,0
steyer,323,usa,democrats,,0
rules committee democrats,319,usa,democrats,,0
leftie,318,usa,democrats,,0
freshmen democrats,316,usa,democrats,,0
freshman democrat,315,usa,democrats,,0
debbie mucarsel-powell,313,usa,democrats,,0
doug jones,312,usa,democrats,,0
mr. nadler,310,usa,democrats,,0
obama doj,309,usa,democrats,,0
deplorables,308,usa,democrats,,0
barry soetoro,307,usa,democrats,,0
slotkin,302,usa,democrats,,0
sheila jackson,297,usa,democrats,,0
john carlin,296,usa,democrats,,0
anthony weiner,290,usa,democrats,,0
james carville,285,usa,democrats,,0
mcgovern,285,usa,democrats,,0
mr horowitz,283,usa,democrats,,0
robert ray,278,usa,democrats,,0
harry reid,277,usa,democrats,,0
hillary rodham clinton,277,usa,democrats,clinton,0
#schiff,274,usa,democrats,,0
kirsten gillibrand,274,usa,democrats,,0
omar rashida tlaib,271,usa,democrats,,0
